Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
153	03/25/26 18:02:28.137	03/25/26 18:02:28.137	60.6217	EMG	TTL 3: Fall
154	03/25/26 18:02:33.137	03/25/26 18:02:33.137	65.6223	EEG1	TTL 3: Rise
155	03/25/26 18:02:33.137	03/25/26 18:02:33.137	65.6223	EEG2	TTL 3: Rise
156	03/25/26 18:02:33.137	03/25/26 18:02:33.137	65.6223	EMG	TTL 3: Rise
157	03/25/26 18:02:34.137	03/25/26 18:02:34.137	66.6221	EEG1	TTL 3: Fall
158	03/25/26 18:02:34.137	03/25/26 18:02:34.137	66.6221	EEG2	TTL 3: Fall
159	03/25/26 18:02:34.137	03/25/26 18:02:34.137	66.6221	EMG	TTL 3: Fall
160	03/25/26 18:02:35.139	03/25/26 18:02:35.139	67.6244	EEG1	TTL 3: Rise
161	03/25/26 18:02:35.139	03/25/26 18:02:35.139	67.6244	EEG2	TTL 3: Rise
162	03/25/26 18:02:35.139	03/25/26 18:02:35.139	67.6244	EMG	TTL 3: Rise
163	03/25/26 18:02:36.141	03/25/26 18:02:36.141	68.6263	EEG1	TTL 3: Fall
164	03/25/26 18:02:36.141	03/25/26 18:02:36.141	68.6263	EEG2	TTL 3: Fall
165	03/25/26 18:02:36.141	03/25/26 18:02:36.141	68.6263	EMG	TTL 3: Fall
166	03/25/26 18:02:39.142	03/25/26 18:02:39.142	71.6271	EEG1	TTL 3: Rise
167	03/25/26 18:02:39.142	03/25/26 18:02:39.142	71.6271	EEG2	TTL 3: Rise
168	03/25/26 18:02:39.142	03/25/26 18:02:39.142	71.6271	EMG	TTL 3: Rise
169	03/25/26 18:02:40.142	03/25/26 18:02:40.142	72.6267	EEG1	TTL 3: Fall
170	03/25/26 18:02:40.142	03/25/26 18:02:40.142	72.6267	EEG2	TTL 3: Fall
171	03/25/26 18:02:40.142	03/25/26 18:02:40.142	72.6267	EMG	TTL 3: Fall
172	03/25/26 18:02:41.144	03/25/26 18:02:41.144	73.6288	EEG1	TTL 3: Rise
173	03/25/26 18:02:41.144	03/25/26 18:02:41.144	73.6288	EEG2	TTL 3: Rise
174	03/25/26 18:02:41.144	03/25/26 18:02:41.144	73.6288	EMG	TTL 3: Rise
175	03/25/26 18:02:42.146	03/25/26 18:02:42.146	74.6310	EEG1	TTL 3: Fall
176	03/25/26 18:02:42.146	03/25/26 18:02:42.146	74.6310	EEG2	TTL 3: Fall
177	03/25/26 18:02:42.146	03/25/26 18:02:42.146	74.6310	EMG	TTL 3: Fall
